YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,TE22,460,2456
2023-01,WEEKDAY,0,TRAIN,NE17/PTC,241,1932
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,329,1598
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1079,797
2023-01,WEEKDAY,13,TRAIN,BP12,4271,1307
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,16926,15665
2023-01,WEEKDAY,14,TRAIN,NS17/CC15,34571,30699
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,5931,5078
2023-01,WEEKDAY,16,TRAIN,CC10/DT26,9750,8514
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,DT28,2183,1020
2023-01,WEEKDAY,6,TRAIN,DT28,10178,5687
2023-01,WEEKENDS/HOLIDAY,5,TRAIN,DT7,32,2
2023-01,WEEKDAY,5,TRAIN,DT7,114,58
2023-01,WEEKDAY,11,TRAIN,PW5,1534,1010
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,PW5,2119,873
2023-01,WEEKDAY,18,TRAIN,BP3,2881,7517
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1494,2077
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,CC28,542,1556
2023-01,WEEKDAY,22,TRAIN,CC28,778,2472
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1477,1146
2023-01,WEEKDAY,13,TRAIN,SW6,4057,3635
2023-01,WEEKDAY,17,TRAIN,NE12/CC13,44365,67147
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,26221,29708
2023-01,WEEKDAY,8,TRAIN,NS21/DT11,47145,58227
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,11389,13013
2023-01,WEEKDAY,0,TRAIN,NE16/STC,276,2137
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,249,1460
2023-01,WEEKDAY,17,TRAIN,DT21,8135,3663
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,DT21,2664,2079
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,20474,24214
2023-01,WEEKDAY,19,TRAIN,NE12/CC13,39401,69263
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,EW31,791,1507
2023-01,WEEKDAY,6,TRAIN,EW31,1791,6900
2023-01,WEEKDAY,15,TRAIN,EW7,7650,10702
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,EW7,5426,6165
2023-01,WEEKDAY,21,TRAIN,CC24,11296,1468
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,CC24,2173,998
2023-01,WEEKDAY,12,TRAIN,EW8/CC9,22232,28140
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,21605,24064
2023-01,WEEKDAY,20,TRAIN,BP5,979,1311
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,BP5,459,632
2023-01,WEEKDAY,12,TRAIN,EW15,14148,14746
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,EW15,4870,6421
2023-01,WEEKDAY,7,TRAIN,SW4,5005,1305
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,SW4,428,378
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1594,6868
2023-01,WEEKDAY,22,TRAIN,DT33,1943,12488
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,16402,33299
2023-01,WEEKDAY,11,TRAIN,EW24/NS1,21124,40246
2023-01,WEEKENDS/HOLIDAY,23,TRAIN,CC23,302,126
2023-01,WEEKDAY,23,TRAIN,CC23,946,187
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,DT13,1910,1822
2023-01,WEEKDAY,22,TRAIN,DT13,3791,2669
2023-01,WEEKDAY,23,TRAIN,NE14,1708,10130
2023-01,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1228,6660
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,10697,17397
2023-01,WEEKDAY,22,TRAIN,NS9/TE2,15008,30205
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,DT22,3286,4629
2023-01,WEEKDAY,12,TRAIN,DT22,3731,4427
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,DT28,4492,4865
2023-01,WEEKDAY,18,TRAIN,DT28,19900,13444
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,DT34,1507,940
2023-01,WEEKDAY,12,TRAIN,DT34,2423,1620
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1290,516
2023-01,WEEKDAY,9,TRAIN,SW7,2427,827
2023-01,WEEKDAY,12,TRAIN,NE17/PTC,23072,22066
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,19571,16464
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,NE8,19280,18331
2023-01,WEEKDAY,19,TRAIN,NE8,18467,29123
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,NS13,13507,19550
2023-01,WEEKDAY,21,TRAIN,NS13,22851,35891
2023-01,WEEKENDS/HOLIDAY,5,TRAIN,NS13,4503,596
2023-01,WEEKDAY,5,TRAIN,NS13,18714,2517
2023-01,WEEKDAY,5,TRAIN,PW6,394,46
2023-01,WEEKENDS/HOLIDAY,5,TRAIN,PW6,96,8
2023-01,WEEKDAY,13,TRAIN,CC21,5539,4610
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,CC21,2971,2783
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1640,1541
2023-01,WEEKDAY,14,TRAIN,PE7,2247,3935
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,CC20,2305,1736
2023-01,WEEKDAY,10,TRAIN,CC20,2625,2037
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,EW25,1968,3890
2023-01,WEEKDAY,21,TRAIN,EW25,2103,7162
2023-01,WEEKDAY,16,TRAIN,CC2,3582,1773
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,CC2,1529,1295
2023-01,WEEKDAY,14,TRAIN,CC12,11504,3821
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,CC12,1573,1541
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,NS20,10368,8434
2023-01,WEEKDAY,16,TRAIN,NS20,34431,17122
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,NS14,10898,10790
2023-01,WEEKDAY,16,TRAIN,NS14,15567,23059
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,NS15,5632,3667
2023-01,WEEKDAY,11,TRAIN,NS15,12674,11914
2023-01,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,287,78
2023-01,WEEKDAY,5,TRAIN,EW21/CC22,1492,965
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,BP4,828,473
2023-01,WEEKDAY,11,TRAIN,BP4,5309,1721
2023-01,WEEKDAY,11,TRAIN,NS27/CE2/TE20,1764,1830
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,854,1717
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,12961,8901
2023-01,WEEKDAY,9,TRAIN,NS17/CC15,31348,17978
2023-01,WEEKDAY,6,TRAIN,EW10,12685,2516
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,EW10,3057,937
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,NS28,344,1625
2023-01,WEEKDAY,8,TRAIN,NS28,1124,1954
2023-01,WEEKDAY,7,TRAIN,EW33,3435,9073
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,EW33,1507,1997
2023-01,WEEKDAY,18,TRAIN,BP12,2169,4642
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,BP12,759,825
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,340,83
2023-01,WEEKDAY,0,TRAIN,EW14/NS26,267,77
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,CG2,76,67
2023-01,WEEKDAY,0,TRAIN,CG2,70,90
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,NE5,3588,3841
2023-01,WEEKDAY,16,TRAIN,NE5,6636,5591
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,18913,15092
2023-01,WEEKDAY,11,TRAIN,NE16/STC,25534,20030
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,TE6,3779,1385
2023-01,WEEKDAY,9,TRAIN,TE6,7926,1971
2023-01,WEEKDAY,13,TRAIN,EW9,16390,10301
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,EW9,9731,8564
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,TE5,1212,519
2023-01,WEEKDAY,8,TRAIN,TE5,5473,1873
2023-01,WEEKDAY,17,TRAIN,CC6,5918,6193
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,CC6,5203,4291
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,NE8,4904,6184
2023-01,WEEKDAY,8,TRAIN,NE8,15811,20048
2023-01,WEEKDAY,20,TRAIN,CC7,2302,4283
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,CC7,1409,2501
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,NS3,3805,8379
2023-01,WEEKDAY,20,TRAIN,NS3,6005,18368
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,BP13,0,1
2023-01,WEEKDAY,10,TRAIN,SE3,2371,752
2023-01,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1580,650
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,4696,5861
2023-01,WEEKDAY,9,TRAIN,EW16/NE3/TE17,11603,32970
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,17686,22990
2023-01,WEEKDAY,18,TRAIN,NE16/STC,38569,76975
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,TE3,3275,1477
2023-01,WEEKDAY,12,TRAIN,TE3,5561,2520
2023-01,WEEKDAY,5,TRAIN,EW15,640,653
2023-01,WEEKENDS/HOLIDAY,5,TRAIN,EW15,123,33
2023-01,WEEKDAY,18,TRAIN,NS7,18844,22307
2023-01,WEEKENDS/HOLIDAY,18,TRAIN,NS7,11686,8660
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NS15,211,498
2023-01,WEEKDAY,0,TRAIN,NS15,291,719
2023-01,WEEKDAY,15,TRAIN,NS15,26074,10796
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,NS15,4999,4689
2023-01,WEEKDAY,22,TRAIN,DT7,1397,1314
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,DT7,939,829
2023-01,WEEKDAY,15,TRAIN,PW4,2401,4180
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,PW4,2455,2462
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,TE4,895,711
2023-01,WEEKDAY,22,TRAIN,TE4,1205,1227
2023-01,WEEKDAY,15,TRAIN,EW23,33216,29552
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,EW23,17453,17396
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,NE8,19923,12117
2023-01,WEEKDAY,20,TRAIN,NE8,17565,17131
2023-01,WEEKDAY,19,TRAIN,EW33,3504,2569
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1351,1981
2023-01,WEEKDAY,8,TRAIN,TE16,3601,4784
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,TE16,983,1039
2023-01,WEEKDAY,6,TRAIN,CC16,5508,2901
2023-01,WEEKENDS/HOLIDAY,6,TRAIN,CC16,830,450
2023-01,WEEKDAY,13,TRAIN,TE4,1716,1634
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,TE4,1697,1292
2023-01,WEEKDAY,11,TRAIN,BP12,1697,918
2023-01,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1179,771
2023-01,WEEKDAY,13,TRAIN,NE17/PTC,26731,28595
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,19114,17589
2023-01,WEEKDAY,7,TRAIN,BP5,3744,2695
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,BP5,491,310
2023-01,WEEKDAY,8,TRAIN,SW6,5205,1614
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1349,496
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,EW4,5977,5736
2023-01,WEEKDAY,16,TRAIN,EW4,12234,9250
2023-01,WEEKENDS/HOLIDAY,14,TRAIN,CC2,1216,1440
2023-01,WEEKDAY,14,TRAIN,CC2,2360,2925
2023-01,WEEKDAY,12,TRAIN,NE14,19017,14023
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,NE14,13382,9281
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,33688,17038
2023-01,WEEKDAY,20,TRAIN,NE4/DT19,51682,22132
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,SE5,26,137
2023-01,WEEKDAY,0,TRAIN,SE5,24,165
2023-01,WEEKENDS/HOLIDAY,23,TRAIN,EW6,615,2102
2023-01,WEEKDAY,23,TRAIN,EW6,767,3463
2023-01,WEEKDAY,12,TRAIN,CC4/DT15,6059,10855
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,2866,7416
2023-01,WEEKDAY,15,TRAIN,NE4/DT19,42287,37209
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,32766,30292
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,SW1,579,469
2023-01,WEEKDAY,8,TRAIN,SW1,1926,3514
2023-01,WEEKDAY,9,TRAIN,NS10,36840,14902
2023-01,WEEKENDS/HOLIDAY,9,TRAIN,NS10,17687,7252
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,DT33,4818,2014
2023-01,WEEKDAY,7,TRAIN,DT33,38407,13190
2023-01,WEEKDAY,0,TRAIN,DT24,19,234
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,DT24,32,214
2023-01,WEEKENDS/HOLIDAY,0,TRAIN,NS18,119,587
2023-01,WEEKDAY,0,TRAIN,NS18,128,917
2023-01,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,8931,3035
2023-01,WEEKDAY,22,TRAIN,NS24/NE6/CC1,17678,4364
2023-01,WEEKDAY,21,TRAIN,EW3,5825,11373
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,EW3,3298,5849
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,DT5,2748,4753
2023-01,WEEKDAY,20,TRAIN,DT5,5707,8280
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,DT22,3884,4410
2023-01,WEEKDAY,15,TRAIN,DT22,3863,4434
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,CC27,540,209
2023-01,WEEKDAY,21,TRAIN,CC27,2426,340
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1389,1370
2023-01,WEEKDAY,15,TRAIN,SE4,2216,3105
